student_id,full_name,gpa
20200170,زياد فصيل,76.7
20200171,نزيه فصيل,73.9
20200172,جهراء الجفالي,66.0
20200173,رفيق آل سلطان,76.0
20200174,عبد العليم آل العسكري,63.0
20200175,حسيب آل بن ظافر,64.0
20200176,صبري مهنا,75.5
20200177,عبد الباقي المهيدب,62.7
20200178,عطاء الحجار,75.9
20200179,وسيل آل بن ظافر,66.2
20200180,لانا حجار,65.3
20200181,حياة العليان,64.6
20200182,ماذى فصيل,75.5
20200183,مقدام شربتلي,70.0
20200184,مرشد الحجار,71.3
20200185,نور الحقّ آل عايض,70.4
20200186,صبيح الحكير,70.9
20200187,يوسف آل مقطة,70.8
20200188,تمّام آل سعود,69.1
20200189,سرور آل معيض,62.0
20200190,غانم الجابر,71.3
20200191,فيصل آل حسين,74.5
20200192,فؤاد حنبولي,66.5
20200193,حافظ آل بن ظافر,71.6
20200194,عبد الرّحمن آل صفوان,68.6
20200195,سرحان بن لادن,64.0
20200196,عبد الملك الحجار,67.5
20200197,كمال المهيدب,69.1
20200198,زكي آل مقطة,63.0
20200199,رفيق العقيل,66.5
20200200,هناء آل قصير,76.1
20200201,حمدان أبا الخيل,67.3
20200202,شبيب المغاولة,69.5
20200203,هايدي آل جعفر,66.3
20200204,عدوي الخرافي,64.4
20200205,عمّار أبا الخيل,68.5
20200206,مازن آل خضير,70.9
20200207,راوي المهيدب,73.4
20200208,ميّاد العقيل,74.1
20200209,غطفان الجابر,66.1
20200210,زاهي العقيل,68.0
20200211,رمحي العليان,64.8
20200212,مخلص آل بن ظافر,73.3
20200213,عدوي الجابر,68.3
20200214,هيام مهنا,65.8
20200215,سعيد آل صفوان,73.4
20200216,بنان بقشان,69.6
20200217,قدري شربتلي,65.6
20200218,راجح آل جعفر,78.8
20200219,رائف آل عطفة,66.2
20200220,ضحّاك آل بن لافي,76.4
20200221,كاظم آل الشيخ,74.8
20200222,راني الخرافي,73.8
20200223,واثق المغاولة,65.1
20200224,عبد الملك الشايع,67.8
20200225,مُرسي بن لادن,71.5
20200226,مريم مهنا,70.8
20200227,صنديد الراشد,69.4
20200228,رائد الحجار,63.5
20200229,ضاحي آل محمد بن علي بن جماز,69.0
20200230,يقين آل صفوان,72.0
20200231,مرتضي آل عطفة,70.2
20200232,فرزدق آل رفيع,72.8
20200233,خلدون آل العسكري,69.7
20200234,نصر الدّين الشايع,68.4
20200235,ريناد آل عطفة,66.4
20200236,رهيف العليان,74.6
20200237,كنعان آل محمد بن علي بن جماز,70.5
20200238,صبيح فصيل,69.7
20200239,حسيب آل علي,71.5
20200240,بلقيس آل سلطان,67.7
20200241,رحيب آل عطفة,68.2
20200242,مقدام الحكير,69.5
20200243,فكري المهنا,67.5
20200244,سرور آل خضير,65.6
20200245,أسرار العليان,68.9
20200246,سراج بقشان,68.1
20200247,لقمان شربتلي,68.3
20200248,سبأ الراشد,68.0
20200249,نزيه العليان,75.5
20200250,زهرة أبو داوود,71.9
20200251,ناجح العليان,72.9
20200252,تاليا كانو,61.0
20200253,صالح المهنا,66.8
20200254,اصيل آل عواض,78.3
20200255,تمّام الجابر,75.8
20200256,لورين أبو داوود,76.1
20200257,علي آل بن ظافر,69.2
20200258,نصر آل سلطان,60.7
20200259,عبد الإله حجار,72.9
20200260,سعيد الحكير,71.4
20200261,يسري آل مقطة,71.8
20200262,ميسون العقيل,67.9
20200263,خلوصي آل حسين,66.5
20200264,نجوان آل بن ظافر,74.1
20200265,خلوصي آل عواض,76.2
20200266,زهدي آل بن ظافر,70.2
20200267,عدلي آل الشيخ,70.9
20200268,مطاوع الجابر,75.0
20200269,سلمان آل سلطان,61.5
20200270,حياة العجلان,69.8
20200271,قاصد المشاولة,68.3
20200272,كارم المغاولة,76.9
20200273,ناصر آل بن ظافر,67.0
20200274,وليد آل حسين,67.0
20200275,زكية المغاولة,70.0
20200276,أفنان آل جعفر,57.8
20200277,مخلص آل علي,70.8
20200278,عبد الملك المهنا,74.0
20200279,أغاريد الدباغ,67.9
20200280,مَجدي الحكير,73.0
20200281,ابتهاج بن لادن,66.0
20200282,طريف آل العسكري,76.9
20200283,خاشعة آل الشيخ,69.8
20200284,شريف أبا الخيل,66.3
20200285,ناعم بقشان,66.3
20200286,عاكف الجابر,71.4
20200287,خلوصي العليان,70.3
20200288,عبد الجليل أبا الخيل,68.6
20200289,لهفان الحكير,71.2
20200290,كاسر آل بن لافي,67.2
20200291,سموح فصيل,64.8
20200292,زغلول آل قصير,65.0
20200293,عبد اللطيف الجابر,68.3
20200294,حنفي آل بن ظافر,74.1
20200295,ميّاد الدباغ,73.1
20200296,سالم العليان,63.9
20200297,أناهيد آل حسين,68.6
20200298,ريفال آل سلطان,68.3
20200299,فخري الدباغ,60.9
20200300,حافظ حنبولي,75.2
20200301,منسي الحكير,63.7
20200302,مقدام آل بن لافي,70.4
20200303,ربيع العقيل,70.9
20200304,سعد آل العسكري,74.4
20200305,حاتم حجار,61.4
20200306,بتلاء آل سعود,66.2
20200307,بهية أبو داوود,67.5
20200308,رحيب المهيدب,65.9
20200309,جود الجفالي,68.8
20200310,صائب الحكير,79.9
20200311,مُسعف آل رفيع,66.9
20200312,خالد حنبولي,62.2
20200313,لاما العجلان,69.1
20200314,بارعة شربتلي,70.1
20200315,غطفان فصيل,67.9
20200316,زاهي مهنا,54.4
20200317,مايا حنبولي,72.3
20200318,عتريس آل سعود,64.7
20200319,كامل آل مقطة,67.2
20200320,سجا آل رفيع,75.6
20200321,نذير آل عطفة,67.0
20200322,حسام الخرافي,69.8
20200323,مشفق الحجار,67.7
20200324,شهم العجلان,77.4
20200325,فرج شربتلي,71.0
20200326,دليل آل بن ظافر,68.0
20200327,حسن العليان,67.2
20200328,عالم آل العسكري,67.1
20200329,نزار كانو,70.2
20200330,وسيم بقشان,67.0
20200331,صلاح الدّين آل عواض,61.6
20200332,راغب شربتلي,70.4
20200333,ناصر المغاولة,85.5
20200334,محسن المشاولة,71.7
20200335,عرفات آل رفيع,75.4
20200336,ساهر الراشد,64.7
20200337,وريد الراشد,69.4
20200338,رائف آل خضير,76.9
20200339,مالك آل جعفر,73.6
20200340,راوي الدباغ,77.6
20200341,سعيد آل العسكري,66.2
20200342,مصطفى الراشد,68.2
20200343,شادن الدباغ,66.7
20200344,جمال الدّين العليان,72.9
20200345,عمر آل محمد بن علي بن جماز,69.4
20200346,ذريع الجفالي,72.4
20200347,دؤوب آل رفيع,72.2
20200348,فرزدق آل العسكري,70.0
20200349,فاروق الجفالي,69.9
20200350,شبلي آل الشيخ,71.2
20200351,طامح الحجار,56.4
20200352,دؤوب حجار,67.8
20200353,سامر آل علي,72.0
20200354,تامر آل علي,77.2
20200355,دانة مهنا,74.2
20200356,هنادي آل رفيع,64.2
20200357,تقيّ الدّين آل مقطة,76.5
20200358,فيّاض آل العسكري,67.7
20200359,إلينا آل عواض,75.0
20200360,سامح آل عايض,66.0
20200361,معمّر آل رفيع,74.0
20200362,مياس الجفالي,75.1
20200363,ليان آل محمد بن علي بن جماز,72.3
20200364,زهدي آل العسكري,74.3
20200365,صخر الحجار,70.9
20200366,غزير العقيل,69.7
20200367,عبدالرّحمن آل مقطة,68.1
20200368,هيكل شربتلي,67.7
20200369,عمرو آل عايض,74.6
20200370,أروى آل حسين,75.0
20200371,رجائي المهنا,70.0
20200372,يزيد أبا الخيل,77.2
20200373,سفيان الحكير,81.0
20200374,سخاء آل سعود,67.3
20200375,ضياء أبو داوود,70.8
20200376,نافذ آل قصير,64.0
20200377,طموح آل عايض,68.2
20200378,عبد الواحد الحجار,69.0
20200379,محجوب كانو,75.7
20200380,حكيم آل سعود,68.8
20200381,ألين آل العسكري,77.1
20200382,كليم آل جعفر,74.5
20200383,لتين آل جعفر,69.2
20200384,زهير الدباغ,73.3
20200385,عثمان المهيدب,65.6
20200386,ماهر آل سلطان,70.7
20200387,أجوان الراشد,66.4
20200388,عتيق شربتلي,68.3
20200389,فدائي آل حسين,69.8
20200390,عاتب الشايع,73.3
20200391,بيسان الحجار,65.0
20200392,ترف المغاولة,75.7
20200393,خاطر الحكير,61.2
20200394,ليث آل الشيخ,77.8
20200395,مجاهد أبو داوود,71.7
20200396,مسلم آل علي,72.2
20200397,قاصد آل مقطة,65.6
20200398,مهدي آل حسين,65.8
20200399,شعيب آل خضير,74.6
20200400,عبد الصّمد آل رفيع,70.6
20200401,واصف حجار,69.6
20200402,ضحى آل سلطان,70.2
20200403,لتين الشايع,72.8
20200404,لؤي آل عايض,72.4
20200405,محفوظ الراشد,73.1
20200406,شافع آل قصير,63.0
20200407,معمّر الجابر,71.5
20200408,نشأت آل سلطان,64.6
20200409,فدائي العجلان,67.8
20200410,بوران شربتلي,71.5
20200411,راتب العقيل,69.8
20200412,صباح آل مقطة,72.3
20200413,تاج الشايع,61.8
20200414,بتول العجلان,68.7
20200415,تقيّ الدّين آل علي,70.9
20200416,عتيق آل رفيع,77.8
20200417,بهجة أبا الخيل,69.0
20200418,هاشم حجار,69.1
20200419,سعيد الراشد,69.3
20200420,لوليا العقيل,69.2
20200421,راضي مهنا,71.2
20200422,نائل آل عواض,69.8
20200423,نيازي الخرافي,66.2
20200424,عبد الغفور شربتلي,75.7
20200425,جرّاح آل رفيع,73.0
20200426,عبد الرّحمن كانو,70.8
20200427,حسني آل الشيخ,72.8
20200428,عامر الخرافي,71.9
20200429,نصر الدّين بن لادن,70.3
20200430,لينا الخرافي,63.3
20200431,مشفق آل خضير,71.3
20200432,عاطف الجفالي,69.5
20200433,عبد القدّوس مهنا,71.3
20200434,صابر حجار,69.2
20200435,رابح آل بن ظافر,70.0
20200436,دؤوب آل محمد بن علي بن جماز,70.2
20200437,عرفات المهنا,77.5
20200438,فاتح آل رفيع,71.1
20200439,نضال آل قصير,67.9
20200440,سموح آل جعفر,71.6
20200441,مازن آل مقطة,77.3
20200442,عبد القادر المغاولة,68.5
20200443,زيد بقشان,66.8
20200444,نشأت شربتلي,70.4
20200445,صدقي المهنا,76.2
20200446,رحيب الدباغ,70.4
20200447,تالا المهنا,71.9
20200448,لفيف آل معيض,73.4
20200449,عبدالرّحمن الشايع,66.8
20200450,قاصد بقشان,69.5
20200451,بهاء آل سعود,72.8
20200452,سفيان آل رفيع,74.7
20200453,كاملة آل رفيع,74.7
20200454,قيس الخرافي,73.3
20200455,أجوان العجلان,65.6
20200456,ساجي المهيدب,66.0
20200457,روفيدا أبا الخيل,72.5
20200458,فداء شربتلي,60.9
20200459,مهنّد الدباغ,62.4
20200460,صهيب العقيل,79.3
20200461,مُرسي المشاولة,60.6
20200462,علاء العليان,68.6
20200463,جوليا آل بن لافي,72.4
20200464,مشرق أبا الخيل,63.7
20200465,سامر العليان,69.7
20200466,حميد حنبولي,79.0
20200467,صلاح آل العسكري,69.8
20200468,فدائي العقيل,72.4
20200469,كرم آل الشيخ,70.2
20200470,نصري آل جعفر,67.3
20200471,شهد آل حسين,66.4
20200472,شادن كانو,68.4
20200473,كمال آل الشيخ,66.5
20200474,فطين آل بن ظافر,68.3
20200475,رمحي حنبولي,70.8
20200476,تامر آل معيض,73.2
20200477,جالا آل مقطة,69.5
20200478,نوف آل عواض,75.7
20200479,سالم بقشان,68.9
20200480,عبد المجيد آل عطفة,60.8
20200481,رحيب الراشد,63.9
20200482,مكّي الجابر,66.9
20200483,كاشف آل صفوان,70.4
20200484,غالب الدباغ,76.4
20200485,جواهر مهنا,72.0
20200486,مرشد آل سلطان,63.0
20200487,مصعب آل سلطان,66.8
20200488,نشوان أبو داوود,70.9
20200489,زكي آل علي,69.3
20200490,شكري الشايع,74.4
20200491,فتحي الحكير,72.6
20200492,مدحت العليان,75.1
20200493,كبير آل عواض,67.8
20200494,صابر الشايع,70.3
20200495,صبحي بن لادن,74.2
20200496,لينا آل بن لافي,72.5
20200497,كايد آل بن ظافر,67.3
20200498,طريف شربتلي,69.9
20200499,رائف آل عايض,65.5
20200500,فهد آل بن لافي,73.6
20200501,تمام مهنا,66.9
20200502,شاطر آل عواض,67.5
20200503,اعتكاف أبا الخيل,69.1
20200504,افتكار آل حسين,65.8
20200505,لورا المشاولة,65.6
20200506,عبد القهّار الجفالي,72.4
20200507,مؤنس العجلان,68.0
20200508,حنبل شربتلي,71.1
20200509,كاملة المغاولة,74.5
20200510,روبا فصيل,72.1
20200511,هايل الراشد,67.8
20200512,يزيد العجلان,66.8
20200513,مُرضي آل محمد بن علي بن جماز,75.3
20200514,لورا العقيل,74.5
20200515,صلاح الجابر,68.3
20200516,عبد الحليم آل بن ظافر,72.9
20200517,حسين آل بن لافي,68.7
20200518,سليمان الجفالي,65.5
20200519,تامر آل مقطة,67.8
20200520,حلا آل الشيخ,73.2
20200521,ساطع آل جعفر,78.5
20200522,مراد مهنا,70.4
20200523,ضرغام حجار,72.0
20200524,كنان المهيدب,67.1
20200525,ضحّاك العجلان,68.2
20200526,شوقي الجابر,74.4
20200527,ابتهاج آل خضير,73.7
20200528,ابتسام آل حسين,70.2
20200529,علاء الدّين أبو داوود,66.9
20200530,نوح العجلان,71.1
20200531,عمر آل محمد بن علي بن جماز,72.8
20200532,جمال المغاولة,63.8
20200533,حفيظ آل عطفة,66.8
20200534,فيّاض آل حسين,74.3
20200535,صدر الدّين المغاولة,71.3
20200536,فاضل آل عطفة,74.6
20200537,صالح آل محمد بن علي بن جماز,69.6
20200538,ريف أبا الخيل,70.5
20200539,عزّت المغاولة,71.1
20200540,كاشف آل محمد بن علي بن جماز,65.9
20200541,مَجدي الجفالي,69.2
20200542,ماذى آل قصير,73.1
20200543,حفيظ أبا الخيل,69.9
20200544,هيثم آل جعفر,63.1
20200545,تمّام العجلان,63.1
20200546,مُنذر الشايع,65.5
20200547,حليم الدباغ,78.4
20200548,مُناضل العجلان,72.7
20200549,مسعود آل رفيع,70.8
20200550,رابح آل حسين,60.0
20200551,ظاعن آل خضير,67.4
20200552,سعدي الدباغ,62.4
20200553,صعب الشايع,68.7
20200554,افتكار آل جعفر,68.2
20200555,مدحت المهيدب,66.3
20200556,كليم آل بن ظافر,77.1
20200557,شجاع آل قصير,69.4
20200558,مُرضي آل عواض,66.4
20200559,زكريا آل معيض,78.3
20200560,فخر الدّين أبو داوود,69.0
20200561,مرشد آل خضير,70.7
20200562,وادع آل مقطة,68.3
20200563,اصيل المهنا,72.6
20200564,صالح آل مقطة,66.4
20200565,مشاري المشاولة,68.9
20200566,إلينا العجلان,66.7
20200567,نور شربتلي,74.8
20200568,عبد الجبّار آل معيض,67.2
20200569,طاهر آل العسكري,74.5
20200570,رهيف حنبولي,73.8
20200571,مادلين آل خضير,74.0
20200572,شادي الدباغ,77.5
20200573,عاتب آل علي,71.3
20200574,عبد القهّار كانو,66.3
20200575,تقي المهنا,73.6
20200576,نجم الدّين الراشد,62.7
20200577,حمدي آل رفيع,80.8
20200578,كاشف فصيل,76.0
20200579,عبد الرّشيد آل رفيع,65.0
20200580,وفاء بقشان,66.8
20200581,فرزدق آل عواض,73.9
20200582,ريما المهنا,72.6
20200583,دعاء آل مقطة,69.7
20200584,ضحّاك آل قصير,68.9
20200585,خلف المغاولة,77.1
20200586,عرفه مهنا,71.0
20200587,عمير آل عواض,70.5
20200588,قبس شربتلي,72.0
20200589,ميمون آل مقطة,75.7
20200590,يسري آل صفوان,79.8
20200591,سائد آل الشيخ,70.5
20200592,هيكل المشاولة,79.3
20200593,عمير الحجار,69.4
20200594,يقين شربتلي,69.5
20200595,جلاء آل سعود,62.2
20200596,كنار آل سلطان,67.5
20200597,شامل المشاولة,70.9
20200598,دهمان آل سعود,74.4
20200599,صبور العليان,74.2
20200600,وصفي آل علي,76.7
20200601,طلال آل سعود,75.2
20200602,طريف الحكير,69.4
20200603,فخري حجار,68.0
20200604,أجوان آل سعود,72.7
20200605,بهجة العليان,68.1
20200606,رستم حنبولي,75.4
20200607,جلال المغاولة,70.7
20200608,أسرار الجفالي,73.5
20200609,مُرسي العجلان,65.7
20200610,عزمي آل الشيخ,73.5
20200611,ضاحي المهيدب,68.7
20200612,جوين آل صفوان,74.6
20200613,دعاء العليان,66.6
20200614,يارا العقيل,71.5
20200615,هاني أبو داوود,69.9
20200616,لورا آل حسين,66.7
20200617,عبد الباقي آل سعود,74.1
20200618,إخلاص الخرافي,72.7
20200619,لوجين آل عطفة,71.5
20200620,عقيل آل مقطة,68.0
20200621,كاشف آل بن لافي,65.9
20200622,صخر آل بن ظافر,71.1
20200623,عطاء آل قصير,67.1
20200624,فارس الشايع,68.4
20200625,روفيدا كانو,66.4
20200626,دارين آل عواض,68.7
20200627,عبد التّواب الجفالي,73.7
20200628,ريتال آل صفوان,65.3
20200629,عرفات آل العسكري,67.9
20200630,فراس بقشان,64.8
20200631,نورس آل بن لافي,67.5
20200632,هنادي شربتلي,72.2
20200633,سرور الجفالي,71.1
20200634,جرّاح العليان,73.3
20200635,بنفسج آل بن لافي,65.4
20200636,جلاء آل قصير,74.9
20200637,حقّي آل الشيخ,66.1
20200638,طائع فصيل,73.9
20200639,عمرو آل جعفر,74.3
20200640,خضر الجفالي,68.0
20200641,ربى الراشد,71.8
20200642,زين آل علي,69.6
20200643,مطاوع الراشد,71.0
20200644,سامح الجفالي,70.9
20200645,عزّت آل عايض,65.9
20200646,جود الجابر,73.3
20200647,هاجر الدباغ,73.3
20200648,كارم آل الشيخ,70.0
20200649,مأمون آل محمد بن علي بن جماز,70.5
20200650,نعيم المهنا,66.2
20200651,وصاف مهنا,73.2
20200652,لورا العجلان,72.6
20200653,حسنين بقشان,62.8
20200654,زاكي الدباغ,74.1
20200655,كتوم آل صفوان,67.5
20200656,تامر المشاولة,70.7
20200657,ساجد حنبولي,59.1
20200658,ديمه المشاولة,71.7
20200659,هند آل سلطان,72.3
20200660,ذكي الجابر,67.1
20200661,طه آل عايض,64.4
20200662,عائد آل العسكري,69.1
20200663,سهوان مهنا,71.2
20200664,وجدي آل صفوان,69.0
20200665,ميسون آل حسين,62.2
20200666,مدحت حجار,61.3
20200667,رجب حنبولي,67.2
20200668,بهاء العجلان,68.1
20200669,لينا آل سلطان,67.9
20200670,بارعة حجار,66.9
20200671,حسني آل محمد بن علي بن جماز,79.2
20200672,فاتح الحكير,65.2
20200673,جلال الدّين شربتلي,71.8
20200674,حامد العليان,68.7
20200675,رازي الجفالي,71.2
20200676,عبدالرّحمن كانو,72.0
20200677,سرور العجلان,60.5
20200678,طلعت المشاولة,67.3
20200679,فراس آل صفوان,64.0
20200680,وصاف الخرافي,71.0
20200681,غطفان آل معيض,69.6
20200682,مُعتز الخرافي,74.3
20200683,ثروت أبا الخيل,72.9
20200684,نظام آل مقطة,75.8
20200685,هلالي العقيل,70.6
20200686,حازم المهنا,70.2
20200687,وضّاح المهيدب,66.5
20200688,عبد الجليل مهنا,68.2
20200689,حسام العجلان,77.0
20200690,كمال آل رفيع,78.3
20200691,لفيف الجفالي,75.4
20200692,مُنذر آل بن لافي,69.8
20200693,جرير آل معيض,74.5
20200694,يسرى آل بن ظافر,70.2
20200695,عاكف مهنا,72.3
20200696,سبأ بن لادن,72.7
20200697,لتين آل مقطة,72.1
20200698,شادن آل علي,74.3
20200699,نصور المغاولة,83.8
20200700,فاتح الحكير,66.4
20200701,عارف آل علي,66.9
20200702,رمحي بقشان,69.2
20200703,غازي آل قصير,64.1
20200704,يمام مهنا,66.7
20200705,ناديه المهنا,71.2
20200706,سجا الجفالي,71.1
20200707,سليمان آل سلطان,62.9
20200708,غالب آل الشيخ,65.4
20200709,يعقوب آل بن لافي,71.6
20200710,وديع آل سلطان,66.0
20200711,فارع الحجار,67.7
20200712,عبد الواحد شربتلي,66.0
20200713,عبدالله أبو داوود,64.7
20200714,مُنجد الخرافي,73.5
20200715,ألين الراشد,62.8
20200716,سيف الدّين آل الشيخ,74.8
20200717,سالم بقشان,68.2
20200718,حسين الشايع,72.6
20200719,زايد الجابر,62.9
20200720,تمّام العقيل,69.0
20200721,رواء كانو,67.2
20200722,عبد الإله حنبولي,66.5
20200723,شكيب آل جعفر,69.2
20200724,هلال الراشد,65.2
20200725,عبد العليم آل عايض,68.8
20200726,نضال آل صفوان,71.7
20200727,خطيب كانو,70.1
20200728,تولين آل صفوان,65.2
20200729,يحيى آل رفيع,71.5
20200730,ناصيف شربتلي,68.1
20200731,نيازي حجار,68.8
20200732,كاشف الراشد,73.2
20200733,عبد الحليم أبا الخيل,75.4
20200734,عبد القهّار آل الشيخ,67.2
20200735,مراد آل معيض,68.8
20200736,عبد الباري المهنا,66.7
20200737,نصري المهيدب,72.3
20200738,علاء الجابر,70.1
20200739,شهب الراشد,67.2
20200740,سامح آل الشيخ,66.8
20200741,نبهان آل سلطان,74.7
20200742,دعاء بقشان,70.8
20200743,كاشف الحجار,65.6
20200744,مناف آل بن ظافر,63.8
20200745,وجيه الدباغ,66.3
20200746,ترانيم حنبولي,75.9
20200747,طائل آل العسكري,64.1
20200748,فكري المغاولة,75.4
20200749,سلام مهنا,71.6
20200750,صائب شربتلي,72.5
20200751,فداء شربتلي,73.3
20200752,لارا العليان,69.3
20200753,جاسم آل قصير,76.1
20200754,وفائي آل قصير,74.0
20200755,عبد السّميع آل عايض,68.3
20200756,محسن آل جعفر,67.7
20200757,وفيق الشايع,76.7
20200758,طموح الشايع,72.0
20200759,نافع آل خضير,77.5
20200760,شكيب آل صفوان,63.1
20200761,مسلم آل جعفر,72.3
20200762,مخلص شربتلي,72.7
20200763,كمال آل معيض,69.2
20200764,عاطف الراشد,64.4
20200765,فراس حنبولي,68.3
20200766,عمير آل حسين,69.0
20200767,عرفه آل العسكري,66.6
20200768,مُعتز آل الشيخ,66.8
